delay_gap,is_delayed,Type_TRANSFER,Order City,order_day,delay_ratio,Order State,Customer City,Order Country,Order Region
-8.033641,-3.1585157,-0.5130497,-0.21522735,0.16295612,-1.3861707,0.4117107,0.35858855,-0.0793471,0.18193698
-10.2803955,-4.2356386,2.5489755,0.39675817,0.23449437,-0.6678531,0.61095744,0.4239452,0.19487034,0.017504446
1.3508103,0.5524607,-1.3258194,0.23952161,0.36665413,0.49373278,-0.115524955,1.055672,0.016743612,-0.33963835
2.359566,0.5502322,-1.2038605,0.46961126,0.44164842,1.1808282,1.0687054,1.5599214,0.30950108,0.046886984
-8.115941,-3.2873592,-0.51145715,0.019152733,0.07135895,-0.64619607,0.23313738,-0.05858477,0.045414403,0.0093274135
-8.115941,-3.2873592,-0.51145715,0.019152733,0.07135895,-0.64619607,0.23313738,-0.05858477,0.045414403,0.0093274135
1.9346976,0.776203,6.4884195,0.3998636,0.055228855,0.8744091,1.4910697,0.1855391,0.012186377,-0.16709578
-10.281026,-4.2037334,2.432343,0.936718,0.5888084,-1.592348,0.16157806,0.23755506,0.40225407,0.039321322
-10.438695,-4.238601,2.389134,0.64631534,0.06297404,-1.6036631,0.5633273,0.21397966,0.39385113,-0.019261427
1.8639989,0.7759925,6.418986,1.0520066,-0.120649956,1.0397853,0.2755289,0.5668964,-0.08911365,0.10485152
-8.115941,-3.2873592,-0.51145715,0.019152733,0.07135895,-0.64619607,0.23313738,-0.05858477,0.045414403,0.0093274135
-7.881138,-3.1766942,-0.53021234,-0.6243449,-0.19327672,-0.4999605,0.13789047,0.56056285,-0.1881655,-0.09695867
-7.881138,-3.1766942,-0.53021234,-0.6243449,-0.19327672,-0.4999605,0.13789047,0.56056285,-0.1881655,-0.09695867
-7.881138,-3.1766942,-0.53021234,-0.6243449,-0.19327672,-0.4999605,0.13789047,0.56056285,-0.1881655,-0.09695867
-8.115941,-3.2873592,-0.51145715,0.019152733,0.07135895,-0.64619607,0.23313738,-0.05858477,0.045414403,0.0093274135
1.925896,0.7743477,6.6255383,-0.5191997,0.115248226,0.92597073,-0.08036668,0.5671726,0.10617886,-0.031327877
1.3508103,0.5524607,-1.3258194,0.23952161,0.36665413,0.49373278,-0.115524955,1.055672,0.016743612,-0.33963835
-10.26377,-4.1299872,2.5380948,0.64573157,0.24786456,-2.1172278,0.44404116,-0.49312648,-0.080959745,-0.06806376
1.8639989,0.7759925,6.418986,1.0520066,-0.120649956,1.0397853,0.2755289,0.5668964,-0.08911365,0.10485152
-10.323781,-4.1848683,2.3021762,0.25529152,0.40324277,-1.9556564,0.6156558,0.6148565,1.0335343,0.121251024
-8.164689,-3.0627084,-0.52620095,-0.17344537,-0.42904013,-1.3916051,-0.13034017,1.1367776,-0.04425534,-0.005683339
2.2452369,0.775724,6.634299,-0.12947701,-0.1291067,1.2114617,-0.22364321,0.09981045,0.21424423,-0.035783432
2.2452369,0.775724,6.634299,-0.12947701,-0.1291067,1.2114617,-0.22364321,0.09981045,0.21424423,-0.035783432
2.2511766,0.77656686,6.4689527,0.45319343,-0.14109764,0.8397246,0.95845443,0.041527707,0.13700445,0.045129526
1.6995455,0.7755491,6.7702556,0.1831253,0.09147547,1.0430053,-0.6280191,-0.67773545,0.32937875,0.20345518
1.7711129,0.77504283,6.5672827,0.93343776,0.4164169,0.95540357,0.19555306,0.20954287,0.22991267,-0.052545242
1.9006678,0.5350423,-1.419254,-0.3580667,0.17912495,1.0436473,0.52395266,0.32710606,0.29966384,0.12238604
1.858196,0.77420807,6.5113564,0.5699547,-0.0502329,1.2130343,0.14572681,0.58151805,0.010618864,0.14627041
1.9800817,0.7753222,6.561274,0.36839396,0.24566983,1.1694864,0.1788559,0.022087358,-0.15651725,0.103698604
1.7911026,0.7766242,6.711736,-0.5159401,-0.27384493,1.1363747,0.0738428,0.20804064,-0.2184486,0.10773871
1.9759691,0.7762419,6.772731,-0.05226683,0.42565534,1.2984588,0.24242005,0.1867958,0.005536573,0.0417121
1.9825592,0.7776609,6.7466807,0.025808638,0.07863725,1.1553937,0.27413708,0.21203032,0.007239921,-0.05038602
-8.033641,-3.1585157,-0.5130497,-0.21522735,0.16295612,-1.3861707,0.4117107,0.35858855,-0.0793471,0.18193698
1.7349637,0.774804,6.611535,0.2698127,0.26126987,1.0811946,0.26351,0.21032675,0.169984,-0.10993501
1.7349637,0.774804,6.611535,0.2698127,0.26126987,1.0811946,0.26351,0.21032675,0.169984,-0.10993501
1.7711699,0.7747437,6.844999,-0.25663617,-0.5679804,1.2169021,-0.7627056,-0.17960714,-0.032571144,0.13701618
-10.007068,-4.12429,2.4008975,0.2239974,0.3279144,-2.1681888,-0.006773621,0.095103405,0.032355558,0.015418455
-10.007068,-4.12429,2.4008975,0.2239974,0.3279144,-2.1681888,-0.006773621,0.095103405,0.032355558,0.015418455
-10.007068,-4.12429,2.4008975,0.2239974,0.3279144,-2.1681888,-0.006773621,0.095103405,0.032355558,0.015418455
-10.281026,-4.2037334,2.432343,0.936718,0.5888084,-1.592348,0.16157806,0.23755506,0.40225407,0.039321322
-10.281026,-4.2037334,2.432343,0.936718,0.5888084,-1.592348,0.16157806,0.23755506,0.40225407,0.039321322
-8.029512,-3.3050394,-0.519062,0.29316035,0.39908314,-1.0558903,0.34067,-0.08586047,-0.09048622,-0.19596678
-7.9386907,-3.1629543,-0.5172601,0.06508637,0.18356021,-1.3662467,0.41994813,0.2714074,-0.19657694,0.18326892
-10.060995,-4.0132227,2.716008,-0.126837,-0.44435826,-1.9372052,-0.75766456,-0.39414102,-0.016773624,-0.02912005
1.8896354,0.7729326,6.6744146,0.518611,0.12110571,1.2106749,0.3774269,0.45765376,-0.22488008,0.086954266
1.8896354,0.7729326,6.6744146,0.518611,0.12110571,1.2106749,0.3774269,0.45765376,-0.22488008,0.086954266
-8.033641,-3.1585157,-0.5130497,-0.21522735,0.16295612,-1.3861707,0.4117107,0.35858855,-0.0793471,0.18193698
-8.033641,-3.1585157,-0.5130497,-0.21522735,0.16295612,-1.3861707,0.4117107,0.35858855,-0.0793471,0.18193698
1.9825592,0.7776609,6.7466807,0.025808638,0.07863725,1.1553937,0.27413708,0.21203032,0.007239921,-0.05038602
1.9825592,0.7776609,6.7466807,0.025808638,0.07863725,1.1553937,0.27413708,0.21203032,0.007239921,-0.05038602
1.9825592,0.7776609,6.7466807,0.025808638,0.07863725,1.1553937,0.27413708,0.21203032,0.007239921,-0.05038602
1.9825592,0.7776609,6.7466807,0.025808638,0.07863725,1.1553937,0.27413708,0.21203032,0.007239921,-0.05038602
-10.128224,-4.0550222,2.6676788,-0.4594659,-0.4595887,-2.3711274,-1.0131774,-0.27269572,-0.11017991,0.03578908
-9.963728,-4.1029477,2.7447503,0.032092366,0.23111112,-1.1526378,-0.3103072,-0.05352518,-0.1691932,-0.013579414
-10.150592,-4.0935836,2.6822577,0.044197485,0.23109846,-1.2429116,0.41101882,0.25811732,-0.17983691,0.19414087
-9.963728,-4.1029477,2.7447503,0.032092366,0.23111112,-1.1526378,-0.3103072,-0.05352518,-0.1691932,-0.013579414
-10.128224,-4.0550222,2.6676788,-0.4594659,-0.4595887,-2.3711274,-1.0131774,-0.27269572,-0.11017991,0.03578908
1.7711129,0.77504283,6.5672827,0.93343776,0.4164169,0.95540357,0.19555306,0.20954287,0.22991267,-0.052545242
1.7937354,0.7759949,6.561255,0.22564797,-0.07632595,1.06501,0.4302053,0.19078352,0.030961867,0.22743478
1.7711129,0.77504283,6.5672827,0.93343776,0.4164169,0.95540357,0.19555306,0.20954287,0.22991267,-0.052545242
1.7711129,0.77504283,6.5672827,0.93343776,0.4164169,0.95540357,0.19555306,0.20954287,0.22991267,-0.052545242
1.959591,0.77597433,6.671958,0.1974955,0.092619106,1.1886998,0.60856444,0.38456023,-0.1556462,0.24933463
1.7711129,0.77504283,6.5672827,0.93343776,0.4164169,0.95540357,0.19555306,0.20954287,0.22991267,-0.052545242
1.959591,0.77597433,6.671958,0.1974955,0.092619106,1.1886998,0.60856444,0.38456023,-0.1556462,0.24933463
1.959591,0.77597433,6.671958,0.1974955,0.092619106,1.1886998,0.60856444,0.38456023,-0.1556462,0.24933463
-10.128868,-4.2013025,2.6376066,0.5087434,0.23007165,-0.63265353,0.32500497,0.22831318,0.22546095,-0.097388335
-10.128868,-4.2013025,2.6376066,0.5087434,0.23007165,-0.63265353,0.32500497,0.22831318,0.22546095,-0.097388335
2.0853786,0.7744711,6.6224794,-0.31211054,0.08851418,1.2728664,0.08286034,0.41228783,0.40799013,-0.004316939
1.7693075,0.5498588,-1.2824599,0.3517728,-0.043382492,0.73776317,0.6741442,0.0884541,0.20175558,0.1440062
1.7693075,0.5498588,-1.2824599,0.3517728,-0.043382492,0.73776317,0.6741442,0.0884541,0.20175558,0.1440062
